clause,implementation_refs,unit_test_refs,ise_scenario_refs,status
SWS_SecOC_00012,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:395,,,IMPL_ONLY
SWS_SecOC_00031,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:376 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:604,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:13 | /home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:165 | /home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:214,,IMPL+EVIDENCE
SWS_SecOC_00033,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:379,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_rollover.c:17 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_rollover.c:208,IMPL+EVIDENCE
SWS_SecOC_00034,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:389,,,IMPL_ONLY
SWS_SecOC_00035,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:395,,,IMPL_ONLY
SWS_SecOC_00036,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:395,,,IMPL_ONLY
SWS_SecOC_00037,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:411,,,IMPL_ONLY
SWS_SecOC_00040,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1319,,,IMPL_ONLY
SWS_SecOC_00042,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1323,,,IMPL_ONLY
SWS_SecOC_00046,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1351,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_keymismatch.c:175 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_keymismatch.c:36 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/scenario_runner.c:55,IMPL+EVIDENCE
SWS_SecOC_00047,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1356,,,IMPL_ONLY
SWS_SecOC_00050,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1733,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_mixed_bus.c:16 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_multi_ecu.c:14,IMPL+EVIDENCE
SWS_SecOC_00054,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:22 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:124 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:129,,,IMPL_ONLY
SWS_SecOC_00057,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC_Lcfg.h:120 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC_Lcfg.h:49 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:18,,,IMPL_ONLY
SWS_SecOC_00058,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:20,,,IMPL_ONLY
SWS_SecOC_00060,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:585,,,IMPL_ONLY
SWS_SecOC_00061,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:585,,,IMPL_ONLY
SWS_SecOC_00062,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:615 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:622,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_freshness_overflow.c:125 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_freshness_overflow.c:13 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_freshness_overflow.c:15 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/scenario_runner.c:57,IMPL+EVIDENCE
SWS_SecOC_00063,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:780 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:787 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:794 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:801 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:817 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:843 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:848,,,IMPL_ONLY
SWS_SecOC_00064,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:776 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:811,,,IMPL_ONLY
SWS_SecOC_00074,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:840,,,IMPL_ONLY
SWS_SecOC_00078,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:973,,,IMPL_ONLY
SWS_SecOC_00079,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1698,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:15 | /home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:214 | /home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:267,,IMPL+EVIDENCE
SWS_SecOC_00080,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1733,,,IMPL_ONLY
SWS_SecOC_00082,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1024 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1072 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1101,,,IMPL_ONLY
SWS_SecOC_00083,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1115,,,IMPL_ONLY
SWS_SecOC_00087,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1409,,,IMPL_ONLY
SWS_SecOC_00094,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:128 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:332 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:432,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:16 | /home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:240,,IMPL+EVIDENCE
SWS_SecOC_00095,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:213,,,IMPL_ONLY
SWS_SecOC_00106,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:41,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_baseline.c:14,IMPL+EVIDENCE
SWS_SecOC_00107,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:320 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC_Cfg.h:5 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1879,,,IMPL_ONLY
SWS_SecOC_00110,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:217,,,IMPL_ONLY
SWS_SecOC_00112,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:80,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:369,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_baseline.c:15 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_throughput.c:15,IMPL+EVIDENCE
SWS_SecOC_00113,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:289 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1819,,,IMPL_ONLY
SWS_SecOC_00119,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:305 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1856,,,IMPL_ONLY
SWS_SecOC_00121,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1386,,,IMPL_ONLY
SWS_SecOC_00124,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:208 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:894,,,IMPL_ONLY
SWS_SecOC_00125,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1136,,,IMPL_ONLY
SWS_SecOC_00126,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/FVM.h:54 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:158 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:96,,,IMPL_ONLY
SWS_SecOC_00128,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1084,,,IMPL_ONLY
SWS_SecOC_00129,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:133,,,IMPL_ONLY
SWS_SecOC_00130,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1008 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1034,,,IMPL_ONLY
SWS_SecOC_00146,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:19,,,IMPL_ONLY
SWS_SecOC_00151,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1747,,,IMPL_ONLY
SWS_SecOC_00157,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:159,,,IMPL_ONLY
SWS_SecOC_00161,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:56,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_rekey.c:16,IMPL+EVIDENCE
SWS_SecOC_00171,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SchM_SecOC.h:26,,,IMPL_ONLY
SWS_SecOC_00172,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1668,,,IMPL_ONLY
SWS_SecOC_00174,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1695,,,IMPL_ONLY
SWS_SecOC_00176,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SchM_SecOC.h:13,,,IMPL_ONLY
SWS_SecOC_00177,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:554,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:345,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_mixed_bus.c:14,IMPL+EVIDENCE
SWS_SecOC_00179,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:573,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_mixed_bus.c:15,IMPL+EVIDENCE
SWS_SecOC_00181,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1046,/home/user/computer_engineering_project/Autosar_SecOC/test/startOfReceptionTests.cpp:77,,IMPL+EVIDENCE
SWS_SecOC_00194,,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_persistence.c:131 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_persistence.c:17 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_persistence.c:212 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_rollover.c:17,EVIDENCE_ONLY
SWS_SecOC_00201,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:607,,,IMPL_ONLY
SWS_SecOC_00202,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:615,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_replay_boundary.c:13 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_replay_boundary.c:143 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_replay_boundary.c:15 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_replay_boundary.c:29 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/scenario_runner.c:58,IMPL+EVIDENCE
SWS_SecOC_00203,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:934,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_rekey.c:17,IMPL+EVIDENCE
SWS_SecOC_00209,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:536,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_attacks.c:15,IMPL+EVIDENCE
SWS_SecOC_00210,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:515,,,IMPL_ONLY
SWS_SecOC_00212,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:442,,,IMPL_ONLY
SWS_SecOC_00215,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1038,/home/user/computer_engineering_project/Autosar_SecOC/test/startOfReceptionTests.cpp:46,,IMPL+EVIDENCE
SWS_SecOC_00220,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:319 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:760,,,IMPL_ONLY
SWS_SecOC_00221,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:328,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_baseline.c:16,IMPL+EVIDENCE
SWS_SecOC_00222,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:342,,,IMPL_ONLY
SWS_SecOC_00225,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:222,,,IMPL_ONLY
SWS_SecOC_00226,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:222 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:845 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:849 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:853 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:857 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:861 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:865,,,IMPL_ONLY
SWS_SecOC_00227,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:383 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:405 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:628,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_bus_failure.c:14,IMPL+EVIDENCE
SWS_SecOC_00228,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:636,,,IMPL_ONLY
SWS_SecOC_00230,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:427,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_attacks.c:16 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_bus_failure.c:15,IMPL+EVIDENCE
SWS_SecOC_00231,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:427,,,IMPL_ONLY
SWS_SecOC_00234,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:999,,,IMPL_ONLY
SWS_SecOC_00235,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:999 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:873 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:878 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:883 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:888 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:893 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC_Lcfg.c:898,,,IMPL_ONLY
SWS_SecOC_00236,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1739,,,IMPL_ONLY
SWS_SecOC_00237,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1739,,,IMPL_ONLY
SWS_SecOC_00238,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1747,,,IMPL_ONLY
SWS_SecOC_00239,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1761,,,IMPL_ONLY
SWS_SecOC_00240,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1370 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1747,,,IMPL_ONLY
SWS_SecOC_00241,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1375 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1386 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1770,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_attacks.c:17,IMPL+EVIDENCE
SWS_SecOC_00242,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1399,,,IMPL_ONLY
SWS_SecOC_00250,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1198,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_deadline_stress.c:14 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_throughput.c:14,IMPL+EVIDENCE
SWS_SecOC_00252,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1843 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:216,,,IMPL_ONLY
SWS_SecOC_00256,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1342 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1787,,,IMPL_ONLY
SWS_SecOC_00257,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1182,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_multi_ecu.c:15,IMPL+EVIDENCE
SWS_SecOC_00259,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1176,,,IMPL_ONLY
SWS_SecOC_00261,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:418,,,IMPL_ONLY
SWS_SecOC_00262,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:414,,,IMPL_ONLY
SWS_SecOC_00263,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1053,/home/user/computer_engineering_project/Autosar_SecOC/test/startOfReceptionTests.cpp:134,,IMPL+EVIDENCE
SWS_SecOC_00265,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1337,,/home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:115 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:125 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:14 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:17 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/sc_verify_disabled.c:56 | /home/user/computer_engineering_project/integrated_simulation_env/scenarios/scenario_runner.c:59,IMPL+EVIDENCE
SWS_SecOC_91003,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/FVM.h:89 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:112 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:198,,,IMPL_ONLY
SWS_SecOC_91005,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:57,,,IMPL_ONLY
SWS_SecOC_91006,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:75,,,IMPL_ONLY
SWS_SecOC_91007,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/FVM.h:70 | /home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:274 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:137 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/FVM.c:93,/home/user/computer_engineering_project/Autosar_SecOC/test/SecOCIntegrationTests.cpp:16,,IMPL+EVIDENCE
SWS_SecOC_91008,/home/user/computer_engineering_project/Autosar_SecOC/include/SecOC/SecOC.h:337 | /home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1898,,,IMPL_ONLY
SWS_SecOC_91009,/home/user/computer_engineering_project/Autosar_SecOC/source/SecOC/SecOC.c:1914,,,IMPL_ONLY
